Appliances Current Profile of single day,,,
Air Conditioner,Electric Kettle,Electric Iron,Water Dispensor
0.012775729,-0.196643352,0.200894263,-0.111103068
-0.073842128,-0.140386115,-0.129347575,0.060195606
-0.06169296,0.133678843,-0.207196488,-0.037749854
-0.111794393,-0.242593453,-0.209988551,-0.039805826
0.023311446,0.106700942,-0.058304003,-0.069919156
0.063573672,0.012328218,0.074024902,0.194575394
-0.053721599,0.376725316,-0.074205684,-0.127592359
-0.18882543,0.011140217,0.023180048,-0.086392494
-0.027303915,0.253296508,-0.32848643,-0.130162598
0.066851029,0.191038303,-0.288709174,0.000493321
-0.10841358,-0.057978222,-0.035543859,-0.11387225
-0.208886459,-0.169318543,0.258266819,0.025328459
0.162045684,-0.17844522,0.597859825,-0.047029992
3.29E-05,0.250487558,0.510640525,-0.006257919
-0.061035387,-0.46588424,0.128167745,-0.100936245
0.120806589,-0.161768584,-0.171176569,-0.002976124
0.093341569,-0.33309985,0.109849631,-0.044750641
-0.022953566,0.034429293,0.078399338,0.070330896
0.168941498,0.34681289,0.255873356,0.16908105
0.010603598,-0.095056603,0.024884417,0.049132081
0.02811291,-0.581999817,-0.14648396,0.119539849
-0.081102571,0.1973687,-0.343081149,0.087735805
0.040146009,-0.022453868,-0.160510419,-0.007698963
-0.061236017,-0.058325816,-0.028886172,0.124697796
0.121951639,-0.160596809,0.045146139,0.092427653
0.112187739,-0.25994438,0.285702321,-0.066634053
-0.083538287,0.082131389,0.351925368,-0.039397049
0.043927513,0.066811192,-0.048896788,-0.058756462
-0.130743352,0.028819645,0.218544636,-0.00357402
0.14472971,-0.01365178,0.019686607,-0.021972075
0.012460065,0.013082984,0.049783048,0.083456974
0.1969134,0.006134917,-0.624380663,0.069285593
-0.081297533,-0.271480973,-0.295190405,-0.035430299
0.046577022,0.060237566,-0.315255185,-0.022227844
0.156733358,-0.192546017,-0.353021909,-0.013246477
-0.009805291,-0.073544858,0.051867602,-0.129713795
-0.031185816,0.315036296,-0.059132741,0.009060439
0.003186217,-0.067855257,0.204767476,0.130118885
-0.03831709,0.516817725,-0.18608225,-0.056449184
-0.078695287,-0.106092049,-0.26284576,0.206642938
-0.037735805,0.163376926,-0.175094073,-0.0298837
-0.017182802,0.092805922,-0.063283496,0.169646344
-0.125055853,-0.082359879,0.194671865,-0.008237891
-0.065890012,-0.165723565,-0.03303185,0.130731953
-0.082975847,0.280850224,0.164779305,0.045638127
-0.075196302,-0.00673899,-0.076300874,-0.04058303
0.050384306,-0.433464435,-0.093296936,-0.090585831
-0.015216563,0.314571912,-0.459316951,0.209433197
0.087821205,0.501536703,0.498704863,-0.013070301
-0.105997306,-0.267564203,0.354350049,0.056815585
0.04795089,-0.175554457,0.116116354,0.144513814
-0.009931247,0.05608866,-0.213886955,0.154010382
-0.127290971,0.2639561,-0.0319538,0.075930198
-0.068742267,-0.117406148,-0.054240431,0.120605687
-0.121012442,-0.298833888,0.669549292,0.079529998
-0.003005237,-0.263916365,0.027757435,-0.048191737
-0.095966589,0.031189391,-0.255516637,0.125551952
0.176613464,0.258172641,0.225496954,0.125601837
0.091482667,-0.183043041,-0.528031539,0.024433526
-0.063935745,0.52685469,-0.045069583,-0.022863968
-0.005318115,0.063445962,-0.38366056,-0.141401277
0.042156999,-0.158595487,-0.19058292,0.058003185
-0.14910763,-0.125874864,0.425224998,-0.042400406
0.033105164,-0.033883079,0.065297957,0.023537449
0.09478555,-0.265126434,-0.91064867,0.034023979
-0.040465633,0.25487281,0.287676481,0.060650548
-0.154181211,0.228621461,0.189687927,0.030693453
-0.064354975,-0.396875521,0.584812793,-0.01628952
-0.006872474,0.013945971,-0.348116246,0.171845718
0.044703181,-0.0237473,-0.220034906,-0.181256843
0.06305323,-0.083223266,0.418483146,0.048106066
